run,generation,best_fitness,algorithm,instance
1,26,14864,EA,tai20_5_0.fsp
1,27,14864,EA,tai20_5_0.fsp
1,28,14817,EA,tai20_5_0.fsp
1,29,14817,EA,tai20_5_0.fsp
1,30,14817,EA,tai20_5_0.fsp
1,31,14792,EA,tai20_5_0.fsp
1,32,14792,EA,tai20_5_0.fsp
1,33,14792,EA,tai20_5_0.fsp
1,34,14582,EA,tai20_5_0.fsp
1,35,14582,EA,tai20_5_0.fsp
1,36,14582,EA,tai20_5_0.fsp
1,37,14578,EA,tai20_5_0.fsp
1,38,14578,EA,tai20_5_0.fsp
1,39,14567,EA,tai20_5_0.fsp
1,40,14567,EA,tai20_5_0.fsp
1,41,14567,EA,tai20_5_0.fsp
1,42,14567,EA,tai20_5_0.fsp
1,43,14567,EA,tai20_5_0.fsp
1,44,14567,EA,tai20_5_0.fsp
1,45,14546,EA,tai20_5_0.fsp
1,46,14546,EA,tai20_5_0.fsp
1,47,14546,EA,tai20_5_0.fsp
1,48,14520,EA,tai20_5_0.fsp
1,49,14520,EA,tai20_5_0.fsp
1,50,14488,EA,tai20_5_0.fsp
1,51,14488,EA,tai20_5_0.fsp
1,52,14477,EA,tai20_5_0.fsp
1,53,14477,EA,tai20_5_0.fsp
1,54,14477,EA,tai20_5_0.fsp
1,55,14477,EA,tai20_5_0.fsp
1,56,14477,EA,tai20_5_0.fsp
1,57,14477,EA,tai20_5_0.fsp
1,58,14477,EA,tai20_5_0.fsp
1,59,14276,EA,tai20_5_0.fsp
1,60,14276,EA,tai20_5_0.fsp
1,61,14276,EA,tai20_5_0.fsp
1,62,14276,EA,tai20_5_0.fsp
1,63,14271,EA,tai20_5_0.fsp
1,64,14271,EA,tai20_5_0.fsp
1,65,14271,EA,tai20_5_0.fsp
1,66,14216,EA,tai20_5_0.fsp
1,67,14216,EA,tai20_5_0.fsp
1,68,14216,EA,tai20_5_0.fsp
1,69,14216,EA,tai20_5_0.fsp
1,70,14216,EA,tai20_5_0.fsp
1,71,14216,EA,tai20_5_0.fsp
1,72,14216,EA,tai20_5_0.fsp
1,73,14198,EA,tai20_5_0.fsp
1,74,14198,EA,tai20_5_0.fsp
1,75,14198,EA,tai20_5_0.fsp
1,76,14198,EA,tai20_5_0.fsp
1,77,14198,EA,tai20_5_0.fsp
1,78,14198,EA,tai20_5_0.fsp
1,79,14197,EA,tai20_5_0.fsp
1,80,14197,EA,tai20_5_0.fsp
1,81,14197,EA,tai20_5_0.fsp
1,82,14197,EA,tai20_5_0.fsp
1,83,14197,EA,tai20_5_0.fsp
1,84,14197,EA,tai20_5_0.fsp
1,85,14197,EA,tai20_5_0.fsp
1,86,14197,EA,tai20_5_0.fsp
1,87,14197,EA,tai20_5_0.fsp
1,88,14197,EA,tai20_5_0.fsp
1,89,14197,EA,tai20_5_0.fsp
1,90,14197,EA,tai20_5_0.fsp
1,91,14197,EA,tai20_5_0.fsp
1,92,14197,EA,tai20_5_0.fsp
1,93,14197,EA,tai20_5_0.fsp
1,94,14197,EA,tai20_5_0.fsp
1,95,14197,EA,tai20_5_0.fsp
1,96,14197,EA,tai20_5_0.fsp
1,97,14197,EA,tai20_5_0.fsp
1,98,14197,EA,tai20_5_0.fsp
1,99,14197,EA,tai20_5_0.fsp
2,0,15732,EA,tai20_5_0.fsp
2,1,15732,EA,tai20_5_0.fsp
2,2,15732,EA,tai20_5_0.fsp
2,3,15607,EA,tai20_5_0.fsp
2,4,15607,EA,tai20_5_0.fsp
2,5,15607,EA,tai20_5_0.fsp
2,6,15553,EA,tai20_5_0.fsp
2,7,15523,EA,tai20_5_0.fsp
2,8,15523,EA,tai20_5_0.fsp
2,9,15232,EA,tai20_5_0.fsp
2,10,15232,EA,tai20_5_0.fsp
2,11,15130,EA,tai20_5_0.fsp
2,12,15130,EA,tai20_5_0.fsp
2,13,15130,EA,tai20_5_0.fsp
2,14,15130,EA,tai20_5_0.fsp
2,15,15030,EA,tai20_5_0.fsp
2,16,15030,EA,tai20_5_0.fsp
2,17,14916,EA,tai20_5_0.fsp
2,18,14916,EA,tai20_5_0.fsp
2,19,14828,EA,tai20_5_0.fsp
2,20,14828,EA,tai20_5_0.fsp
2,21,14828,EA,tai20_5_0.fsp
2,22,14828,EA,tai20_5_0.fsp
2,23,14795,EA,tai20_5_0.fsp
2,24,14795,EA,tai20_5_0.fsp
2,25,14716,EA,tai20_5_0.fsp
2,26,14716,EA,tai20_5_0.fsp
2,27,14716,EA,tai20_5_0.fsp
2,28,14674,EA,tai20_5_0.fsp
2,29,14674,EA,tai20_5_0.fsp
2,30,14627,EA,tai20_5_0.fsp
2,31,14627,EA,tai20_5_0.fsp
2,32,14627,EA,tai20_5_0.fsp
2,33,14627,EA,tai20_5_0.fsp
2,34,14627,EA,tai20_5_0.fsp
2,35,14627,EA,tai20_5_0.fsp
2,36,14627,EA,tai20_5_0.fsp
2,37,14627,EA,tai20_5_0.fsp
2,38,14627,EA,tai20_5_0.fsp
2,39,14627,EA,tai20_5_0.fsp
2,40,14627,EA,tai20_5_0.fsp
2,41,14627,EA,tai20_5_0.fsp
2,42,14627,EA,tai20_5_0.fsp
2,43,14627,EA,tai20_5_0.fsp
2,44,14627,EA,tai20_5_0.fsp
2,45,14627,EA,tai20_5_0.fsp
2,46,14627,EA,tai20_5_0.fsp
2,47,14627,EA,tai20_5_0.fsp
2,48,14586,EA,tai20_5_0.fsp
2,49,14584,EA,tai20_5_0.fsp
2,50,14584,EA,tai20_5_0.fsp
2,51,14584,EA,tai20_5_0.fsp
2,52,14584,EA,tai20_5_0.fsp
2,53,14584,EA,tai20_5_0.fsp
2,54,14584,EA,tai20_5_0.fsp
2,55,14568,EA,tai20_5_0.fsp
2,56,14568,EA,tai20_5_0.fsp
2,57,14568,EA,tai20_5_0.fsp
2,58,14568,EA,tai20_5_0.fsp
2,59,14568,EA,tai20_5_0.fsp
2,60,14558,EA,tai20_5_0.fsp
2,61,14558,EA,tai20_5_0.fsp
2,62,14558,EA,tai20_5_0.fsp
2,63,14558,EA,tai20_5_0.fsp
2,64,14542,EA,tai20_5_0.fsp
2,65,14542,EA,tai20_5_0.fsp
2,66,14542,EA,tai20_5_0.fsp
2,67,14542,EA,tai20_5_0.fsp
2,68,14542,EA,tai20_5_0.fsp
2,69,14542,EA,tai20_5_0.fsp
2,70,14542,EA,tai20_5_0.fsp
2,71,14542,EA,tai20_5_0.fsp
2,72,14542,EA,tai20_5_0.fsp
2,73,14542,EA,tai20_5_0.fsp
2,74,14542,EA,tai20_5_0.fsp
2,75,14542,EA,tai20_5_0.fsp
2,76,14542,EA,tai20_5_0.fsp
2,77,14542,EA,tai20_5_0.fsp
2,78,14542,EA,tai20_5_0.fsp
2,79,14542,EA,tai20_5_0.fsp
2,80,14542,EA,tai20_5_0.fsp
2,81,14542,EA,tai20_5_0.fsp
2,82,14542,EA,tai20_5_0.fsp
2,83,14526,EA,tai20_5_0.fsp
2,84,14526,EA,tai20_5_0.fsp
2,85,14526,EA,tai20_5_0.fsp
2,86,14526,EA,tai20_5_0.fsp
2,87,14526,EA,tai20_5_0.fsp
2,88,14526,EA,tai20_5_0.fsp
2,89,14518,EA,tai20_5_0.fsp
2,90,14518,EA,tai20_5_0.fsp
2,91,14518,EA,tai20_5_0.fsp
2,92,14518,EA,tai20_5_0.fsp
2,93,14504,EA,tai20_5_0.fsp
2,94,14504,EA,tai20_5_0.fsp
2,95,14504,EA,tai20_5_0.fsp
2,96,14504,EA,tai20_5_0.fsp
2,97,14504,EA,tai20_5_0.fsp
2,98,14504,EA,tai20_5_0.fsp
2,99,14504,EA,tai20_5_0.fsp
3,0,15836,EA,tai20_5_0.fsp
3,1,15836,EA,tai20_5_0.fsp
3,2,15836,EA,tai20_5_0.fsp
3,3,15731,EA,tai20_5_0.fsp
3,4,15731,EA,tai20_5_0.fsp
3,5,15565,EA,tai20_5_0.fsp
3,6,15565,EA,tai20_5_0.fsp
3,7,15500,EA,tai20_5_0.fsp
3,8,15500,EA,tai20_5_0.fsp
3,9,15467,EA,tai20_5_0.fsp
3,10,15331,EA,tai20_5_0.fsp
3,11,15313,EA,tai20_5_0.fsp
3,12,15204,EA,tai20_5_0.fsp
3,13,15188,EA,tai20_5_0.fsp
3,14,15168,EA,tai20_5_0.fsp
3,15,15056,EA,tai20_5_0.fsp
3,16,15056,EA,tai20_5_0.fsp
3,17,15056,EA,tai20_5_0.fsp
3,18,15056,EA,tai20_5_0.fsp
3,19,15056,EA,tai20_5_0.fsp
3,20,15056,EA,tai20_5_0.fsp
3,21,14845,EA,tai20_5_0.fsp
3,22,14845,EA,tai20_5_0.fsp
3,23,14845,EA,tai20_5_0.fsp
3,24,14845,EA,tai20_5_0.fsp
3,25,14845,EA,tai20_5_0.fsp
3,26,14845,EA,tai20_5_0.fsp
3,27,14813,EA,tai20_5_0.fsp
3,28,14813,EA,tai20_5_0.fsp
3,29,14779,EA,tai20_5_0.fsp
3,30,14779,EA,tai20_5_0.fsp
3,31,14779,EA,tai20_5_0.fsp
3,32,14779,EA,tai20_5_0.fsp
3,33,14747,EA,tai20_5_0.fsp
3,34,14747,EA,tai20_5_0.fsp
3,35,14713,EA,tai20_5_0.fsp
3,36,14700,EA,tai20_5_0.fsp
3,37,14700,EA,tai20_5_0.fsp
3,38,14685,EA,tai20_5_0.fsp
3,39,14685,EA,tai20_5_0.fsp
3,40,14685,EA,tai20_5_0.fsp
3,41,14685,EA,tai20_5_0.fsp
3,42,14685,EA,tai20_5_0.fsp
3,43,14685,EA,tai20_5_0.fsp
3,44,14685,EA,tai20_5_0.fsp
3,45,14685,EA,tai20_5_0.fsp
3,46,14615,EA,tai20_5_0.fsp
3,47,14615,EA,tai20_5_0.fsp
3,48,14615,EA,tai20_5_0.fsp
3,49,14615,EA,tai20_5_0.fsp
3,50,14615,EA,tai20_5_0.fsp
3,51,14442,EA,tai20_5_0.fsp
3,52,14442,EA,tai20_5_0.fsp
3,53,14442,EA,tai20_5_0.fsp
3,54,14442,EA,tai20_5_0.fsp
3,55,14442,EA,tai20_5_0.fsp
3,56,14425,EA,tai20_5_0.fsp
3,57,14379,EA,tai20_5_0.fsp
3,58,14379,EA,tai20_5_0.fsp
3,59,14379,EA,tai20_5_0.fsp
3,60,14379,EA,tai20_5_0.fsp
3,61,14379,EA,tai20_5_0.fsp
3,62,14379,EA,tai20_5_0.fsp
3,63,14379,EA,tai20_5_0.fsp
3,64,14352,EA,tai20_5_0.fsp
3,65,14352,EA,tai20_5_0.fsp
3,66,14278,EA,tai20_5_0.fsp
3,67,14278,EA,tai20_5_0.fsp
3,68,14278,EA,tai20_5_0.fsp
3,69,14278,EA,tai20_5_0.fsp
3,70,14278,EA,tai20_5_0.fsp
3,71,14278,EA,tai20_5_0.fsp
3,72,14278,EA,tai20_5_0.fsp
3,73,14278,EA,tai20_5_0.fsp
3,74,14278,EA,tai20_5_0.fsp
3,75,14278,EA,tai20_5_0.fsp
3,76,14278,EA,tai20_5_0.fsp
3,77,14278,EA,tai20_5_0.fsp
3,78,14278,EA,tai20_5_0.fsp
3,79,14278,EA,tai20_5_0.fsp
3,80,14278,EA,tai20_5_0.fsp
3,81,14278,EA,tai20_5_0.fsp
3,82,14278,EA,tai20_5_0.fsp
3,83,14278,EA,tai20_5_0.fsp
3,84,14278,EA,tai20_5_0.fsp
3,85,14278,EA,tai20_5_0.fsp
3,86,14278,EA,tai20_5_0.fsp
3,87,14278,EA,tai20_5_0.fsp
3,88,14278,EA,tai20_5_0.fsp
3,89,14278,EA,tai20_5_0.fsp
3,90,14278,EA,tai20_5_0.fsp
