parameter,value,best,worst,avg,std
T0,100,14128,14355,14249.7,74.9254
T0,1000,14100,14384,14206.5,89.4844
T0,10000,14088,14359,14215.9,93.3321
alpha,0.9,14693,15962,15251.3,404.651
alpha,0.95,14426,15078,14761.5,174.443
alpha,0.99,14198,14483,14331.2,91.977
alpha,0.999,14114,14354,14193.2,81.2931
